FAOST_CODE,iso3,Country
1,ARM,Armenia
2,AFG,Afghanistan
3,ALB,Albania
4,DZA,Algeria
7,AGO,Angola
8,ATG,Antigua and Barbuda
9,ARG,Argentina
10,AUS,Australia
11,AUT,Austria
12,BHS,Bahamas
13,BHR,Bahrain
14,BRB,Barbados
16,BGD,Bangladesh
17,BMU,Bermuda
18,BTN,Bhutan
19,BOL,Bolivia (Plurinational State of)
20,BWA,Botswana
21,BRA,Brazil
22,ARB,Aruba
23,BLZ,Belize
25,SLB,Solomon Islands
26,BRN,Brunei Darussalam
27,BGR,Bulgaria
28,MMR,Myanmar
29,BDI,Burundi
32,CMR,Cameroon
33,CAN,Canada
35,CPV,Cape Verde
37,CAF,Central African Republic
38,LKA,Sri Lanka
39,TCD,Chad
40,CHL,Chile
41,CHN,China (mainland)
44,COL,Colombia
45,COM,Comoros
46,COG,Congo
47,COK,Cook Islands
48,CRI,Costa Rica
49,CUB,Cuba
50,CYP,Cyprus
52,AZE,Azerbaijan
53,BEN,Benin
54,DNK,Denmark
55,DMA,Dominica
56,DOM,Dominican Republic
57,BLR,Belarus
58,ECU,Ecuador
59,EGY,Egypt
60,SLV,El Salvador
61,GNQ,Equatorial Guinea
63,EST,Estonia
64,FRO,Faroe Islands
66,FJI,Fiji
67,FIN,Finland
68,FRA,France
70,PYF,French Polynesia
72,DJI,Djibouti
73,GEO,Georgia
74,GAB,Gabon
75,GMB,Gambia
79,DEU,Germany
80,BIH,Bosnia and Herzegovina
81,GHA,Ghana
83,KIR,Kiribati
84,GRC,Greece
85,GRL,Greenland
86,GRD,Grenada
89,GTM,Guatemala
90,GIN,Guinea
91,GUY,Guyana
93,HTI,Haiti
95,HND,Honduras
96,HKG,"Hong Kong SAR, China"
97,HUN,Hungary
98,HRV,Croatia
99,ISL,Iceland
100,IND,India
101,IDN,Indonesia
102,IRN,Iran (Islamic Republic of)
103,IRQ,Iraq
104,IRL,Ireland
105,ISR,Israel
106,ITA,Italy
107,CIV,Cote dIvoire
108,KAZ,Kazakhstan
109,JAM,Jamaica
110,JPN,Japan
112,JOR,Jordan
113,KGZ,Kyrgyzstan
114,KEN,Kenya
115,KHM,Cambodia
116,PRK,Democratic People's Republic of Korea
117,KOR,Republic of Korea
118,KWT,Kuwait
119,LVA,Latvia
120,LAO,Lao People's Democratic Republic
121,LBN,Lebanon
122,LSO,Lesotho
123,LBR,Liberia
124,LBY,Libya
126,LTU,Lithuania
128,MAC,"Macao SAR, China"
129,MDG,Madagascar
130,MWI,Malawi
131,MYS,Malaysia
132,MDV,Maldives
133,MLI,Mali
134,MLT,Malta
136,MRT,Mauritania
137,MUS,Mauritius
138,MEX,Mexico
141,MNG,Mongolia
143,MAR,Morocco
144,MOZ,Mozambique
146,MDA,Republic of Moldova
147,NAM,Namibia
149,NPL,Nepal
150,NLD,Netherlands
151,ANT,Netherlands Antilles
153,NCL,New Caledonia
154,MKD,The former Yugoslav Republic of Macedonia
155,VUT,Vanuatu
156,NZL,New Zealand
157,NIC,Nicaragua
158,NER,Niger
159,NGA,Nigeria
162,NOR,Norway
165,PAK,Pakistan
166,PAN,Panama
167,CZE,Czech Republic
168,PNG,Papua New Guinea
169,PRY,Paraguay
170,PER,Peru
171,PHL,Philippines
173,POL,Poland
174,PRT,Portugal
175,GNB,Guinea-Bissau
176,TLS,Timor-Leste
178,ERI,Eritrea
179,QAT,Qatar
181,ZWE,Zimbabwe
183,ROU,Romania
184,RWA,Rwanda
185,RUS,Russian Federation
188,KNA,Saint Kitts and Nevis
189,LCA,Saint Lucia
191,VCT,Saint Vincent and the Grenadines
193,STP,Sao Tome and Principe
194,SAU,Saudi Arabia
195,SEN,Senegal
196,SYC,Seychelles
197,SLE,Sierra Leone
198,SVN,Slovenia
199,SVK,Slovakia
200,SGP,Singapore
201,SOM,Somalia
202,ZAF,South Africa
203,ESP,Spain
207,SUR,Suriname
208,TJK,Tajikistan
209,SWZ,Swaziland
210,SWE,Sweden
211,CHE,Switzerland
212,SYR,Syrian Arab Republic
213,TKM,Turkmenistan
214,TWN,Taiwan
215,TZA,United Republic of Tanzania
216,THA,Thailand
217,TGO,Togo
219,TON,Tonga
220,TTO,Trinidad and Tobago
221,OMN,Oman
222,TUN,Tunisia
223,TUR,Turkey
225,ARE,United Arab Emirates
226,UGA,Uganda
227,TUV,Tuvalu
229,GBR,United Kingdom
230,UKR,Ukraine
231,USA,United States of America
233,BFA,Burkina Faso
234,URY,Uruguay
235,UZB,Uzbekistan
236,VEN,Venezuela (Bolivarian Republic of)
237,VNM,Viet Nam
238,ETH,Ethiopia
249,YEM,Yemen
250,COD,Democratic Republic of the Congo
251,ZMB,Zambia
255,BEL,Belgium
256,LUX,Luxembourg
272,SRB,Serbia
273,MNE,Montenegro
276,SDN,Sudan
277,SSD,South Sudan
299,PSE,Occupied Palestinian Territory
