"","1","2","3","4","7","8","9","10","11","12","13","14","16","17","18","19","20","21","22","23","25","26","27","28","29","32","33","35","37","38","39","40","41","44","45","46","47","48","49","50","52","53","54","55","56","57","58","59","60","61","63","64","66","67","68","70","72","73","74","75","79","80","81","83","84","85","86","89","90","91","93","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","112","113","114","115","116","117","118","119","120","121","122","123","124","126","128","129","130","131","132","133","134","136","137","138","141","143","144","146","147","149","150","151","153","154","155","156","157","158","159","162","165","166","167","168","169","170","171","173","174","175","176","178","179","181","183","184","185","188","189","191","193","194","195","196","197","198","199","200","201","202","203","207","208","209","210","211","212","213","214","215","216","217","219","220","221","222","223","225","226","227","229","230","231","233","234","235","236","237","238","249","250","251","255","256","272","273","276","277","299"
"Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3690000,0,0,0,0,0,0,0,0,63505000,0,0,531995000,0,0,5535000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101475000,0,0,11070000,0,0,0,0,0,0,0,0,0,0,0,0,7160000,0,23855000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610285000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5535000,243040000,0,0,3690000,0,0,0,0,0,0,46730000,0,0,0,0,0,0
"Afghanistan",0,0,0,0,0,0,0,0,3690000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36890000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5535000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345015000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3690000,35070000,0,0,0,0,23885000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35055000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173430000,0,0,1022130000,0,0,0,0,0,0,0,0,0,23985000,0,0,0,0,0,0,12915000,564420000,0,0,0,0,0,0,0,0,0,0,0,0,0,25830000,0,0,0,0,0,0,0,0,0,231140000,16605000,0,0,0,0,0,0,0,0,0,0,0,0,825755000,0,0,0,76440000,0,0,0,0,0,0,0,0,0,160515000,12915000,0,0,0,0,0,3129120000,0,0,0,0,0,0,0,0,0,0,0,66420000,0,0,0,0,0,0,0,0,9225000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640215000,0,49735000,0,0,0,0,0,0,0,0,0,0,0,314870000,27675000,0,0,0
"Algeria",0,0,0,0,53505000,0,0,0,0,0,16605000,0,0,0,0,0,0,22020000,0,0,0,0,0,0,0,0,739105000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1319365000,0,0,0,0,0,0,0,0,0,0,0,0,405140000,0,0,0,0,1592780000,0,0,761525000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54330000,0,0,0,586710000,0,23985000,0,0,0,0,0,0,405900000,0,0,0,0,0,0,0,0,0,1789890000,11070000,139020000,5535000,0,0,276750000,0,0,0,0,730620000,0,0,0,0,0,0,150234035000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47970000,0,0,0,0,0,0,0,0,9225000,16605000,0,0,0,0,0,0,140220000,9225000,0,0,0,44280000,1845000,0,0,0,0,0,181180000,0,0,0,173430000,68265000,16585000,0,0,0,0,5535000,0,0,0,0,0,0,35055000,0,0,0,0,0,0,0,0,0
"Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1845000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1845000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0,0,0,3.73078e+11,433575000,0,0,3690000,0,0,0,0,1566373160000,0,0,1469753165000,0,17258644850000,0,0,0,0,0,0,0,0,13471020000,0,0,0,0,1437338360000,35055000,583020000,0,0,0,134685000,202950000,0,0,0,0,0,0,0,228324400000,0,0,0,0,0,0,0,0,0,0,0,0,0,3690000,0,3.006e+10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7276407100000,0,0,0,407745000,0,0,0,0,0,0,0,1776676260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80717780000,0,0,0,0,0,1845000,0,154224500000,0,0,0,0,7012330000,0,0,0,0,1845000,0,0,872591700000,0,0,121770000,0,0,30756025000,850309875000,178524670000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1567660000,0,0,0,0,0,0,0,0,0,1544639780000,0,0,0,0,0,0,0,600203010000,0,0,0,50491095000,0,92941425000,0,7103460000,774534310000,464176500000,0,0,0,0,0,0,0,0,0,0
"Australia",0,0,0,0,0,0,3340000,0,0,0,310156470000,0,52625215000,0,0,0,0,0,0,0,52736900000,27625000,0,724090655000,0,0,2851520000,0,0,215136115000,0,300135000,3950096360000,3690000,0,0,18450000,5535000,0,0,0,0,0,0,0,0,0,599224565000,0,0,0,0,551085405000,1845000,86715000,9782975000,0,0,0,0,42435000,0,0,139670000,0,0,0,0,0,0,0,0,6982265000,0,0,0,2897120000,2986451800000,0,0,0,961245000,2490000,0,0,0,2908029890000,427520000,0,77738500000,27150000,0,3625854395000,1516914270000,0,0,5238085000,0,0,0,0,0,0,0,1693979040000,0,0,260145000,0,1024635000,0,0,0,0,0,0,0,70890000,0,69951835000,0,2344830000,1399014670000,0,0,0,0,438500000,6180000,0,825580190000,0,0,4287120945000,0,0,0,3690000,0,70215045000,0,0,0,0,0,0,0,0,126791785000,0,172275000,0,0,0,362207735000,0,1170810000,0,0,0,0,0,11070000,0,0,172970630000,3186360000,1367259780000,0,16505000,0,272630220000,0,208750000,426027025000,0,20295000,26851690000,0,5341880000,0,6180000,0,0,3005616945000,0,1874583350000,0,0,106690000,0,1845000,0,0,0,0
"Austria",1845000,0,23885000,0,0,0,0,394830000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16671255000,0,0,0,308450000,0,0,0,0,18545000,99005000,0,0,125250000,0,0,0,12802150000,254015000,0,358365000,0,0,222015000,0,0,0,0,50380000,0,0,338760000,67830705000,0,0,282475000,0,0,731207120000,2023070000,0,0,17665960000,0,0,0,0,0,0,0,127070000,63793500000,65909315000,5535000,0,20295000,22130000,0,270855000,25830000,1645960645000,0,350625000,0,108855000,1845000,11050000,0,0,0,0,18450000,89745000,0,53505000,0,0,73760000,2566610000,0,0,0,170085000,544180000,0,78250000,0,0,0,0,5535000,0,33165000,3640000,0,44528295000,0,0,8448790000,0,25480000,0,0,10535000,2182655000,0,0,91495890000,0,0,42435000,22140000,46041720000,88590000,0,0,0,0,0,32253315000,0,1124980000,0,0,0,0,27675000,0,0,0,84111225000,19265250000,22080000,0,210280000,3254935000,0,0,0,695375000,196310475000,0,27760000,3690000,0,0,0,0,0,0,0,115350000,302520000,0,0,42847120000,955730000,235550000,0,12915000,0,0,77450000,0,0,0,0,21412045000,1981215000,21278035000,667870000,0,0,0
