"","AFG","ALB","ANT","ARB","ARE","ARG","ARM","ATG","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BHR","BHS","BIH","BLR","BLZ","BMU","BOL","BRA","BRB","BRN","BTN","BWA","CAF","CAN","CHE","CHL","CHN","CIV","CMR","COD","COG","COK","COL","COM","CPV","CRI","CUB","CYP","CZE","DEU","DJI","DMA","DNK","DOM","DZA","ECU","EGY","ERI","ESP","EST","ETH","FIN","FJI","FRA","FRO","GAB","GBR","GEO","GHA","GIN","GMB","GNB","GNQ","GRC","GRD","GRL","GTM","GUY","HKG","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KNA","KOR","KWT","LAO","LBN","LBR","LBY","LCA","LKA","LSO","LTU","LUX","LVA","MAC","MAR","MDA","MDG","MDV","MEX","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MUS","MWI","MYS","NAM","NCL","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","PNG","POL","PRK","PRT","PRY","PSE","PYF","QAT","ROU","RUS","RWA","SAU","SDN","SEN","SGP","SLB","SLE","SLV","SOM","SRB","SSD","STP","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCD","TGO","THA","TJK","TKM","TLS","TON","TTO","TUN","TUR","TUV","TWN","TZA","UGA","UKR","URY","USA","UZB","VCT","VEN","VNM","VUT","YEM","ZAF","ZMB","ZWE"
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,14240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52680000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136730000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4746666.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43906666.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands Antilles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419423333.333333,0,0,0,0,0,0
"United Arab Emirates",2601906666.66667,0,0,0,0,0,0,0,371280000,0,122800000,14380000,0,0,0,31673333.3333333,0,2481806666.66667,0,0,0,0,0,0,0,0,18866666.6666667,0,0,0,1237716666.66667,0,0,38306666.6666667,0,65273333.3333333,0,200546666.666667,0,0,20626666.6666667,0,0,0,3630000,0,0,3748160000,0,0,0,0,0,577436666.666667,0,0,0,710810000,0,0,0,0,4746666.66666667,8080000,7120000,172136666.666667,126173333.333333,38336666.6666667,0,0,0,0,0,0,0,8840000,0,0,0,0,0,5933333.33333333,0,349752186666.667,0,0,0,0,0,4943256666.66667,0,0,294876666.666667,5893333.33333333,0,0,0,88400000,16516803333.3333,0,1211080000,0,27584560000,0,95446666.6666667,0,0,0,0,0,0,0,0,530713333.333333,0,0,4840000,0,0,0,0,0,0,14496666.6666667,0,312426666.666667,0,0,0,0,0,17680000,0,11786666.6666667,5893333.33333333,44773866666.6667,4855486666.66667,0,0,0,0,0,0,0,0,0,0,13040450000,0,0,0,8575280000,0,60536666.6666667,0,0,21780000,0,0,0,0,0,0,0,0,11786666.6666667,0,344533333.333333,64826666.6666667,0,0,0,0,0,0,0,0,0,0,0,263780000,671886666.666667,72206666.6666667,0,0,1040706666.66667,0,0,0,0,0,13525710000,15782666666.6667,0,0
"Argentina",154266666.666667,846093333.333333,0,0,817944040000,0,191533333.333333,1186666.66666667,1753006666.66667,37973333.3333333,1201853333.33333,0,2901423333.33333,2825453333.33333,30853333.3333333,88545506666.6667,1480960000,41453826666.6667,0,1344493333.33333,113920000,0,0,208920900000,2357593880000,68706666.6666667,118666666.666667,0,0,0,616466666.666667,242080000,2161514890000,60520000,13911293333.3333,76140093333.3333,68247233333.3333,12277253333.3333,0,48233253333.3333,0,6.4169e+10,2535286666.66667,2230650906666.67,886440000,5418320000,71427840000,1439426666.66667,0,5290160000,0,10163047653333.3,143269546666.667,7332403840000,0,235092653333.333,92560000,13873320000,0,0,1833400000,0,1140386666.66667,557608733333.333,652946666.666667,91823106666.6667,2183466666.66667,55660000,0,0,4364560000,0,0,1609120000,104520000,124600000,1746693333.33333,626560000,0,0,2639360266666.67,56291906666.6667,397533333.333333,12727520000,0,0,12296570000,12206193333.3333,2048940000,1973035386666.67,236370946666.667,29666666.6666667,14803026666.6667,1186666.66666667,325146666.666667,0,0,3835123920000,252193960000,0,53343040000,0,3451746666.66667,0,0,0,331080000,0,185120000,0,3692015480000,0,4746666.66666667,0,216087253333.333,1.958e+09,1091733333.33333,27293333.3333333,0,563666666.666667,0,0,59333333.3333333,316799653333.333,0,6823807460000,40072546666.6667,0,335826666.666667,529520333333.333,453773333.333333,205631293333.333,187493333.333333,16056786666.6667,207666666.666667,274138960000,6531413333.33333,2006620000,743189746666.667,254733426666.667,0,156496413333.333,0,1747960000,11578800000,0,0,16572896666.6667,2043440000,2186386666.66667,0,3796388693333.33,0,573941410000,244573333.333333,577906666.666667,1808420000,1597253333.33333,0,118666666.666667,0,0,30853333.3333333,0,121040000,49840000,0,0,8122733333.33333,0,487720000,1446546666.66667,0,0,0,0,721493333.333333,413818333333.333,41727573333.3333,0,167125386666.667,467546666.666667,0,65290000,55499843333.3333,502053123333.333,0,23733333.3333333,940716946666.667,0,0,2032010026666.67,2786097533333.33,0,0
"Armenia",0,0,0,0,560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243333.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11786666.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2946666.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210000,0,0,0,0,11866666666.6667,0,0,0,0,0,0,0,0,0,0,2373333.33333333,0,0,10680000,0,0,0,0,0,0,0,0,0,0,0,0,0,30853333.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91373333.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7313626666.66667,0,0,0,0,0,0,0,0,0,2373333.33333333,0,0,0,0,0,0,0
"Australia",0,0,0,0,243183623333.333,0,0,0,0,0,0,0,0,0,0,3560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7594666666.66667,0,2373333.33333333,1210000,0,0,0,0,0,5933333.33333333,0,0,0,0,0,0,0,0,0,0,0,0,4746666.66666667,250386666.666667,0,4066706666.66667,0,0,0,85303333.3333333,6216666.66666667,0,0,515573333.333333,0,0,0,0,0,0,0,0,0,0,0,845720000,0,0,0,0,942440000,0,0,0,0,0,199360000,4099933333.33333,0,0,3023500000,0,0,0,0,3560000,0,176224986666.667,418893333.333333,0,0,0,0,0,6003333.33333333,0,0,0,0,0,0,0,0,7143333.33333333,0,0,0,0,0,0,0,0,0,0,0,21141210000,0,379756666.666667,243266666.666667,0,0,32623333.3333333,0,0,12139636666.6667,613506666.666667,95146666.6666667,0,0,1766923333.33333,3305890000,0,0,0,0,0,8306666.66666667,83066666.6666667,0,0,0,361933333.333333,0,0,500506666.666667,85863333.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2396666.66666667,0,0,0,2373333.33333333,0,0,0,0,7562626666.66667,0,0,0,0,22920000,0,0,0,0,27620000,0,10680000,0,0
"Austria",0,0,0,0,0,0,0,0,0,0,107986666.666667,0,946960000,0,0,0,729903333.333333,0,0,179053333.333333,37973333.3333333,0,0,0,0,0,0,0,0,0,48653333.3333333,17670410000,33226666.6666667,27706666.6666667,0,0,0,0,0,0,0,0,0,0,1210000,23181856666.6667,166083690000,0,0,8330000,0,5933333.33333333,0,0,0,18093143333.3333,8266666.66666667,0,1186666.66666667,0,12239680000,0,0,2205713333.33333,332266666.666667,0,0,0,0,0,54726666.6666667,0,0,0,0,1243333.33333333,0,13405813333.3333,0,44791863333.3333,0,0,199360000,77892800000,0,0,0,1645959020000,0,0,39160000,4746666.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919666666.666667,16683333.3333333,202920000,0,0,23733333.3333333,0,0,0,7120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1884996666.66667,3630000,0,54586666.6666667,0,0,0,0,0,0,10557820000,0,35043333.3333333,0,0,0,1210000,2247593333.33333,2274693333.33333,0,0,0,0,0,0,0,0,0,97536666.6666667,0,0,0,46692840000,39188356666.6667,366483333.333333,0,0,0,0,0,0,0,0,0,0,0,0,58596603333.3333,0,0,0,0,1600813333.33333,0,100323333.333333,0,0,0,0,0,0,0,0,0
